Dopant,Dopant/Ti mole ratio,Calcination temperature,Pollutant,Catalyst/Pollutant mass ratio,pH,Experimental temperature,Light wavelength,Illumination time,Degradation rate
Ce,0,550,MB,400,0,25,345,120,45.5
Fe,0,500,MB,100,7,0,545,300,69
S,1.5,450,MB,100,7,25,420,150,52
N,0,400,MB,100,10,25,550,60,5
C,16,600,MB,100,7,25,425,60,99
N,0,400,MB,100,7,25,550,120,40.2
Ga,0.01,500,MB,125,7.5,25,525,150,91
Ce,0,500,MO,215.38,0,25,580,90,16.8
N,0.03,500,MB,200,7,25,580,30,63
Ga,0.01,500,MB,100,3,25,525,105,4
Ce,0.01,550,MB,400,0,25,345,360,79.6
Ni,0.03,500,MO,400,0,25,365,60,57.3
Cd,0.05,500,AO,50,7,0,580,80,53.28
Cd,0.15,500,AO,50,7,0,580,60,41.21
Mo,0.01,450,MO,17.5,0,25,400,60,30
Mo,0.01,450,MO,16.5,0,25,400,30,19.4
S,0,700,MO,100,2.5,25,345,60,90
Ag,0.01,400,MR,35,6.4,20,365,45,100
Fe,0.03,400,MB,100,7,25,580,15,18.4
Ga,0.01,500,MB,62.5,7.5,25,525,60,36
C,16,800,MB,100,7,25,425,100,87
C,16.01,700,MB,99.99,7,25,425.01,100,94.01
N,18.6,450,MB,333.33,7,25,475,60,51
C,16,600,MB,50,7,25,425,40,79
pure,0,500,MB,100,7,0,545,300,29.5
N,18.6,450,MB,333.33,7,25,475,90,70
N,0,500,Phenol,1000,5,25,580,240,36
Ga,0.01,500,MB,100,3,25,525,30,1
pure,0,400,MB,50,7,0,345,70,95.6
Ce,0,400,Phenol,50,7,25,365,180,98.2
Ag,0.01,400,MR,25,6.4,20,365,45,87.4
N,0.05,500,MB,200,7,25,580,30,66.8
F,0.22,500,MB,200,7,25,580,240,68
Ga,0.01,500,MB,125,7.5,25,525,90,60
Mo,0.03,450,MO,29.5,0,25,400,120,54
C,16,700.01,MB,100,7.01,25,425.01,99.99,94
pure,10,500,MB,100,7,25,365,40,28
C,16,600,MB,200,7,25,425,50,100
Bi,0,650,Phenol,100,7,25,525,60,68.62
Bi,0,600,Phenol,100,7,25,525,15,20.37
C,16,600,MB,200,7,25,425,20,94
S,0,850,MO,100,2.5,25,580,120,8.6
C,16,500,MB,100,7,25,425,60,90
Ga,0.06,500,MB,100,7.5,25,525,105,95
S,0.01,500,MO,100,2.5,25,345,60,65.5
pure,0,400,MB,100,6.8,25,254,90,84
Ag,0.01,400,MB,100,11,25,254,120,99
Ce,0,550,MB,400,0,25,345,300,83.6
N,0,400,MB,100,3,25,550,120,17
N,18.6,450,MO,333.33,7,25,600,60,48
Ce,0,400,Phenol,50,7,25,365,60,18
N,18.6,450,MB,333.33,7,25,600,60,49
Ni,0.06,500,MO,400,0,25,365,30,46.1
pure,0,900,MB,50,7,0,345,70,71
Ag,0.01,400,MR,50,9,20,365,45,100
pure,10,500,MB,100,7,25,450,80,6
Ga,0.01,500,MB,250,7.5,25,525,150,98
N,0,400,MB,100,5,25,463,240,32.3
Bi,0.01,500,Phenol,100,7,25,525,60,58.53
N,4.6,450,MB,400,7,25,600,60,64
Bi,0,650,Phenol,100,7,25,525,30,36.51
C,16,600,MB,200,7,25,425,60,99
Fe,0.05,400,MB,100,7,25,580,15,13.7
Ga,0.01,500,MB,500,7.5,25,525,90,86
N,0.03,500,MB,200,7,25,580,40,68
N,0,600,Phenol,1000,5,25,580,420,45
Ce,0,400,Phenol,50,7,25,365,60,64
pure,0,400,MB,50,7,0,345,15,30.7
N,18.6,450,MO,333.33,7,25,475,60,61
Ni,0.03,500,MO,400,0,25,525,10,69
C,16.01,700,MB,100.01,7.01,25,425,100,94
C,16,600,MB,100,3,25,425,60,58
pure,0,500,MB,100,7,0,545,60,11.3
Ag,0.01,400,MB,40,9,32,254,60,96.6
N,0.02,500,MB,200,7,25,580,160,80
Ag,0.01,400,MB,187.5,6.8,25,254,180,89.8
Ga,0.01,500,MB,100,10,25,525,60,54
Ag,0.01,400,MB,8,9,32,254,60,88.7
S,0,750,MO,100,2.5,25,345,60,93
C,16,400,MB,100,7,25,425,40,43
Ag,0.01,400,MB,66.67,6.8,25,254,60,52
pure,0,800,MB,50,7,0,345,70,83.9
Ag,0.01,400,MB,24,9,32,254,60,93.42
C,16.01,699.99,MB,100,7,24.99,424.98,100,94
pure,0,900,MB,50,7,0,345,60,61.4
Ce,0.02,550,MB,400,0,25,345,360,78.6
S,0,750,MO,100,2.5,25,580,60,43
N,0,700,Phenol,1000,5,25,525,180,79
S,0,750,MO,100,2.5,25,580,120,62.4
Ce,0,500,MO,215.38,0,25,580,120,39
Ce,0.01,550,MB,400,0,25,345,180,61.6
Ag,0.01,400,MB,66.67,6.8,25,254,45,46
S,0,500,MO,100,2.5,25,345,30,83
C,16.02,700,MB,99.99,6.99,25,425,100,94.01
C,16,400,MB,100,7,25,425,60,48
N,9.3,450,MB,400,7,25,600,180,95
C,16,700,MB,100,7,25,425,60,83
N,18.6,450,MO,333.33,7,25,600,90,53
S,1.5,450,MB,100,7,25,420,90,36
F,0.74,500,MB,200,7,25,580,40,32
N,18.6,450,MB,400,7,25,600,180,91
C,16,600,MB,400,7,25,425,80,100
N,2,500,MB,100,7,0,545,240,75.1
S,0,750,MO,100,2.5,25,345,15,42.5
Ag,0.01,400,MB,100,6.8,25,254,120,94
Ce,0,500,MO,215.38,0,25,580,30,16
Bi,0.01,500,Phenol,100,7,25,525,90,84.59
Mo,0.01,450,MO,19.5,0,25,400,120,50
S,1.05,800,Phenol,10,8,25,510,100,35
F,0.47,500,MB,200,7,25,580,60,50
N,0,600,Phenol,1000,5,25,580,240,27
Ni,0.03,500,MO,400,0,25,525,30,98.3
N,9.3,450,MB,400,7,25,600,90,88
S,0,750,MO,100,2.5,25,580,300,90.5
N,0.02,500,MB,200,7,25,580,10,32
F,1.5,450,MB,100,7,25,420,120,79
pure,10,500,MB,100,7,25,365,120,63
pure,10,500,MB,100,7,25,430,40,5
Ga,0.01,500,MB,125,7.5,25,525,30,25
Ag,0.02,400,MB,175,6.81,25,254.01,179.99,92.4
Ag,0.02,400,MB,175,6.81,25.01,254,179.99,92.4
C,15.99,799.98,MB,99.99,6.99,25,425,99.99,86.99
N,18.6,450,MB,400,7,25,600,120,87
Ni,0.12,500,MO,400,0,25,365,90,77.2
F,10,500,MB,100,7,25,430,80,49
pure,10,500,MB,100,7,25,450,20,1
N,0.05,500,MB,200,7,25,580,120,88
N,0.02,500,MB,200,7,25,580,30,49.75
N,13.9,450,MB,400,7,25,600,120,72
Ni,0.12,500,MO,400,0,25,525,5,59.7
Fe,0.07,400,MB,100,7,25,580,90,61.2
Ag,0.01,400,MR,60,6.4,20,365,45,100
N,13.9,450,MB,400,7,25,600,60,64
pure,0,800,MB,50,7,0,345,45,63.7
Ni,0.12,500,MO,400,0,25,525,20,97.3
pure,0,600,MB,50,7,0,345,30,84.8
N,0.02,500,MB,200,7,25,580,60,63.86
N,18.6,450,MO,333.33,7,25,600,30,45
Ni,0.03,500,MO,400,0,25,365,90,73.1
Mo,0.02,450,MO,23.5,0,25,400,90,50
pure,0,400,MB,100,6.8,25,254,150,93.5
Ag,0.01,400,MB,50,6.8,25,254,120,60
S,1.5,450,MB,100,7,25,420,180,60
N,0,400,MB,100,7,25,550,180,53.26
N,2,500,MB,100,7,0,545,180,70.2
Fe,0.07,400,MB,100,7,25,580,60,39.8
Ga,0,500,MB,100,7.5,25,525,90,94
F,1.5,450,MB,100,7,25,420,150,87
N,0,700,Phenol,1000,5,25,580,300,24
Ga,0.01,500,MB,100,7.5,25,525,60,89
N,18.6,450,MB,31.58,7,25,600,180,15.8
Bi,0,500,Phenol,100,7,25,525,30,38.72
pure,0,400,MB,100,6.8,25,254,180,94.5
N,0,600,Phenol,1000,5,25,525,120,69
pure,0,400,MB,50,7,0,345,30,53
N,0,500,Phenol,1000,5,25,580,180,28
S,0.01,500,MO,100,2.5,25,345,15,18.5
Ga,0.01,500,MB,500,7.5,25,525,60,62
Ag,0.01,400,MB,100,6.8,25,254,60,84
S,1.5,450,MB,100,7,25,420,30,16
C,16,800,MB,100,7,25,425,80,82
Ag,0.01,400,MB,50,6.8,25,254,90,50.3
pure,10,500,MB,100,7,25,450,40,3
Cd,0.15,500,AO,50,7,0,580,80,55.7
Mo,0.02,450,MO,25.5,0,25,400,150,74
N,0.02,500,MB,200,7,25,580,140,79
Ga,0.13,500,MB,100,7.5,25,525,30,61
N,0,600,Phenol,1000,5,25,525,180,87
pure,10,500,MB,100,7,25,430,100,13
Ag,0.01,399.99,MB,175.01,6.79,25.01,254,179.98,92.39
C,16,600,MB,50,7,25,425,20,65
Ga,0.01,500,MB,100,10,25,525,30,46
N,2,500,MB,100,7,0,545,360,84.3
C,16,600,MB,50,7,25,425,60,92
pure,10,500,MB,100,7,25,365,20,16
N,18.6,450,MB,187.5,7,25,600,180,71.86
C,16,600,MB,50,7,25,425,60,90
Ga,0.01,500,MB,100,10,25,525,105,61
N,0,500,Phenol,1000,5,25,525,120,59
Bi,0,500,Phenol,100,7,25,525,120,100
Bi,0.01,500,Phenol,100,7,25,525,15,14.86
N,0,400,MB,100,10,25,550,240,20.9
Ga,0.13,500,MB,100,7.5,25,525,90,88
C,16,700,MB,100,7,25,425,80,90
N,4.6,450,MB,400,7,25,600,90,70
Ce,0,550,MB,400,0,25,345,180,67.6
Cd,0.05,500,AO,50,7,0,580,20,8.3
Ce,0,550,MB,400,0,25,345,360,85.5
Bi,0,650,Phenol,100,7,25,525,45,53.39
Cd,0.15,500,AO,50,7,0,580,20,9.34
Cd,0.15,500,AO,100,2,0,580,120,95.11
Ni,0.12,500,MO,400,0,25,525,25,98
Ga,0.02,500,MB,100,7.5,25,525,105,96
Ag,0.01,400,MR,50,10,20,365,45,100
Fe,0.05,400,MB,100,7,25,580,30,23.6
F,1.5,450,MB,100,7,25,420,210,96
Ni,0.12,500,MO,400,0,25,525,15,95.3
Ag,0.01,400,MB,40,5,32,254,60,94.21
Ce,0,500,MO,215.38,0,25,580,180,63.9
Ce,0.02,550,MB,400,0,25,345,480,83.5
N,0.03,500,MB,200,7,25,580,100,81
Ag,0.02,400,MB,39.99,6.8,25,254.01,180.01,72.02
Ga,0.01,500,MB,62.5,7.5,25,525,30,24
N,2,500,MB,100,7,0,545,300,80.4
Ga,0,500,MB,100,7.5,25,525,60,83
Ag,0.01,400,MB,75,6.8,25,254,180,89
Bi,0,400,Phenol,100,7,25,525,60,44.38
Ga,0.01,500,MB,250,7.5,25,525,90,84
Ag,0.01,400,MB,100,10,25,254,120,99
Ag,0.01,400,MB,16,7,32,254,60,93.62
F,0.47,500,MB,200,7,25,580,40,40
N,0,400,MB,100,10,25,550,180,14.2
N,18.6,450,MB,187.5,7,25,600,30,36.74
N,18.6,450,MO,333.33,7,25,600,120,59
pure,0,500,MB,50,7,0,345,60,100
Ce,0,550,MB,400,0,25,345,180,62.8
N,18.6,450,MB,187.5,7,25,600,90,55.8
Ag,0.01,400,MR,5,6.4,20,365,45,20.8
S,0,500,MO,100,2.5,25,345,15,28
pure,0,600,MB,50,7,0,345,15,60.5
F,10,500,MB,100,7,25,430,100,55
Ag,0.01,400,MB,100,5,25,254,120,93
Ni,0.12,500,MO,400,0,25,525,10,82.5
Ga,0.01,500,MB,62.5,7.5,25,525,90,50
F,0.47,500,MB,200,7,25,580,20,24
Ce,0,550,MB,400,0,25,345,420,87.8
pure,0,500,MO,400,0,0,525,25,63
Bi,0,500,Phenol,100,7,25,525,15,16.88
Ag,0.01,400,MB,50,6.8,25,254,180,76.1
Ce,0,400,Phenol,50,7,25,365,120,85
Ni,0.09,500,MO,400,0,25,365,60,70
Fe,0.05,400,MB,100,7,25,580,90,64.6
Bi,0.01,400,Phenol,100,7,25,525,30,13.44
I,10,500,MB,100,7,25,430,40,17
pure,10,500,MB,100,7,25,430,20,3
Ag,0.01,400,MR,50,12,20,365,45,83
pure,0,800,MB,50,7,0,345,120,93.5
N,4.6,450,MB,400,7,25,600,120,75
F,1.5,450,MB,100,7,25,420,180,91
C,16,600,MB,100,10,25,425,40,100
Bi,0,600,Phenol,100,7,25,525,90,97.25
Ga,0.13,500,MB,100,7.5,25,525,105,92
F,0.74,500,MB,200,7,25,580,20,19
Ag,0.02,400,MB,175.01,6.79,24.99,254,179.99,92.39
N,0.05,500,MB,200,7,25,580,100,86
N,9.3,450,MB,400,7,25,600,60,86
N,0,600,Phenol,1000,5,25,580,180,21
S,0,550,MO,100,2.5,25,345,45,91.5
Fe,0.03,399.99,MB,99.99,7.01,24.99,579.99,15,18.41
N,0,400,MB,100,5,25,550,240,67.2
pure,10,500,MB,100,7,25,365,60,37
Ce,0.02,550,MB,400,0,25,345,60,31.7
Mo,0.03,450,MO,28.5,0,25,400,90,44
N,4.6,450,MB,400,7,25,600,30,57
I,10,500,MB,100,7,25,430,100,43
Ag,0.01,400,MB,100,12,25,254,120,99
N,0,400,MB,100,5,25,550,120,41.8
Bi,0.01,400,Phenol,100,7,25,525,90,61.33
N,18.6,450,MB,750,7,25,600,180,100
Ni,0.09,500,MO,400,0,25,525,20,97.3
Cd,0.1,500,AO,50,7,0,580,80,55.7
pure,0,900,MB,50,7,0,345,120,86
Fe,0.03,400.01,MB,99.99,7,25.01,580,15,18.4
Ni,0.09,500,MO,400,0,25,525,25,98
Ga,0.01,500,MB,100,10,25,525,90,59
S,0,500,MO,100,2.5,25,580,300,95
Fe,0,500,MB,100,7,0,545,240,60.5
Ag,0.01,400,MB,200,6.8,25,254,180,87.8
N,18.6,450,MB,31.58,7,25,600,240,19.14
C,16,800,MB,100,7,25,425,40,59
Cd,0.1,500,AO,50,7,0,580,60,38.15
C,16,600,MB,20,7,25,425,100,88
Fe,0,500,MB,100,7,0,545,360,73
N,4.6,450,MB,400,7,25,600,180,86
pure,0,500,MO,400,0,0,365,30,24.4
N,13.9,450,MB,400,7,25,600,180,83
Ce,0,400,Phenol,50,7,25,365,120,93.5
N,18.6,450,MB,333.33,7,25,600,30,42.79
C,16,500,MB,100,7,25,425,40,88
N,18.6,450,MB,750,7,25,600,120,97
Ce,0,550,MB,400,0,25,345,240,76.4
pure,0,900,MB,50,7,0,345,15,21.1
Ce,0,400,Phenol,50,7,25,365,60,56
Ga,0.01,500,MB,100,5,25,525,90,25
Ce,0.01,550,MB,400,0,25,345,120,49.8
S,0,750,MO,100,2.5,25,345,45,85
Cd,0.05,500,AO,50,7,0,580,40,19.15
Bi,0,500,Phenol,100,7,25,525,60,69.12
F,0.74,500,MB,200,7,25,580,180,73
Ni,0.09,500,MO,400,0,0,365,120,95.7
pure,0,400,MB,50,7,0,345,120,100
C,16,600,MB,200,7,25,425,20,82
Fe,0.1,400,MB,100,7,25,580,60,35.6
pure,0,900,MB,50,7,0,345,30,39.7
N,0.05,500,MB,200,7,25,580,140,90
C,16,600,MB,100,3,25,425,100,67
Ni,0.06,500,MO,400,0,25,525,15,96
N,18.6,450,MB,400,7,25,600,60,80
S,0.01,500,MO,100,2.5,25,345,30,42.5
pure,0,700,MB,50,7,0,345,60,100
Ag,0.01,400,MB,40,6.8,24.99,254,180,72
Bi,0,400,Phenol,100,7,25,525,60,63.17
Fe,0.07,400,MB,100,7,25,580,30,19.8
F,0.22,500,MB,200,7,25,580,20,19
Mo,0.02,450,MO,24.5,0,25,400,120,62
N,18.6,450,MO,333.33,7,25,475,30,44
Mo,0.01,450,MO,20.5,0,25,400,150,60
Ga,0.01,500,MB,125,7.5,25,525,60,42
Ni,0.09,500,MO,400,0,25,525,30,99
Ag,0.01,400.02,MB,39.99,6.8,25,254,180.02,72
Ag,0.01,400,MB,200,6.8,25,254,180,99
N,0.02,500,MB,200,7,25,580,120,75
C,16,600,MB,200,7,25,425,100,100
Ga,0.02,500,MB,100,7.5,25,525,90,93
S,0,800,MO,100,2.5,25,345,45,68.5
N,0.03,500,MB,200,7,25,580,10,52.7
pure,0,400,MB,50,7,0,345,105,100
S,1.05,500,Phenol,10,8,25,510,80,91
N,0,700,Phenol,1000,5,25,525,60,36
N,0,700,Phenol,1000,5,25,580,180,13
pure,0,400,MB,100,6.8,25,254,30,51
S,0,500,MO,100,2.5,25,345,30,57.5
Bi,0,500,Phenol,100,7,25,525,120,100
pure,0,500,MO,400,0,0,365,90,63.9
S,1.05,800,Phenol,10,8,25,510,40,15.5
Ag,0.01,400,MB,60,7,32,254,60,96.23
N,0,700,Phenol,1000,5,25,580,60,4
C,16,500,MB,100,7,25,425,80,95
F,10,500,MB,100,7,25,430,120,60
Fe,0.1,400,MB,100,7,25,580,45,23.8
C,16,600,MB,50,7,25,425,20,73
Fe,0.1,400,MB,100,7,25,580,15,6
N,0,400,MB,100,5,25,550,60,19.3
Bi,0,400,Phenol,100,7,25,525,90,73.48
N,18.6,450,MB,333.33,7,25,475,170,83
N,0,400,MB,100,3,25,550,60,9.7
pure,0,750,MB,50,7,0,345,15,92.7
C,0,400,MO,1000,7,25,575,120,59
Ni,0.09,500,MO,400,0,25,365,90,88.6
S,0,850,MO,100,2.5,25,345,45,39.5
F,0.47,500,MB,200,7,25,580,240,90
Mo,0.01,450,MO,34.5,0,25,525,120,34.3
Fe,0.03,400.01,MB,100.01,7,24.99,580.01,15.01,18.39
Ag,0.01,400,MR,50,6.4,20,365,15,78.5
Bi,0,650,Phenol,100,7,25,525,90,92.29
C,16,600,MB,400,7,25,425,60,96
S,0,700,MO,100,2.5,25,580,120,63.5
Ce,0,500,MO,215.38,0,25,580,60,11.1
Ga,0.01,500,MB,100,5,25,525,30,14
S,1.05,800,Phenol,10,8,25,510,20,6.5
N,18.6,450,MB,333.33,7,25,600,120,68.84
Mo,0.03,450,MO,26.5,0,25,400,30,14
C,16,799.99,MB,100,7,25.01,425,99.99,87
N,0.03,500,MB,200,7,25,580,140,86.9
Fe,0,500,MB,100,7,0,545,180,52.8
F,0.22,500,MB,200,7,25,580,40,32
N,0,600,Phenol,1000,5,25,580,360,39
F,10,500,MB,100,7,25,430,40,28
Ni,0.09,500,MO,400,0,25,525,10,88.2
Ga,0.01,500,MB,500,7.5,25,525,30,41
N,18.6,450,MO,333.33,7,25,475,120,71
S,0,850,MO,100,2.5,25,345,60,50
Mo,0.01,450,MO,31.5,0,25,525,30,12
Ga,0.01,500,MB,100,5,25,525,105,26
S,1.05,700,Phenol,10,8,25,510,60,90.3
Ga,0.06,500,MB,100,7.5,25,525,30,70
Bi,0,650,Phenol,100,7,25,525,15,36.51
F,1.5,450,MB,100,7,25,420,90,68.5
C,16,600,MB,100,7,25,425,40,96
Ga,0.01,500,MB,100,3,25,525,90,3
N,18.6,450,MB,31.58,7,25,600,300,24.88
S,0,500,MO,100,2.5,25,580,120,54
pure,0,700,MB,50,7,0,345,45,99.8
Bi,0.01,400,Phenol,100,7,25,525,60,33.52
S,1.05,500,Phenol,10,8,25,510,20,29
C,16,700,MB,100,7,25,425,40,75
C,16.01,800,MB,100,7.01,25.02,425.01,100,87
Cd,0.15,500,AO,25,2,0,580,120,75.44
Fe,0.04,399.99,MB,99.99,6.99,25.01,579.99,14.99,18.39
P,0.04,500,RhB,16.67,7,16,420,40,90
Cd,0.1,500,AO,50,7,0,580,20,9.18
Ag,0.01,400,MB,100,9,25,254,120,98
I,10,500,MB,100,7,25,430,80,37
S,0,700,MO,100,2.5,25,580,60,40
C,0,400,MO,1000,7,25,575,300,70
N,0,700,Phenol,1000,5,25,580,420,34
Cd,0.1,500,AO,50,7,0,580,100,66.48
N,0.03,500,MB,200,7,25,580,120,84.9
Ce,0,500,MO,215.38,0,25,580,150,47.8
pure,0,500,MO,400,0,0,365,60,44.3
Ce,0,550,MB,400,0,25,345,60,25.87
S,0,700,MO,100,2.5,25,345,45,78.5
C,16,600,MB,200,7,25,425,40,95
Ga,0.01,500,MB,62.5,7.5,25,525,180,84
P,0.04,500,RhB,16.67,7,16,420,10,57
